OBJECTID,StaType,StnType,ZipCode,State,City,Address,Station Name,lon,lat,Code
715,Platform only (no shelter),TRAIN,12975,NY,Port Kent,NY 373 and Lake Street,"Park Ridge, IL",-73.403536,44.524079,PRK
716,Platform with Shelter,TRAIN,84601,UT,Provo,300 West 600 South,Provo,-111.664001,40.225957,PRO
717,Station Building (with waiting room),TRAIN,99301,WA,Pasco,535 North 1st Avenue,Pasco,-119.087729,46.237012,PSC
719,Platform with Shelter,TRAIN,92262,CA,Palm Springs,North Indian Canyon Drive and Palm Springs Station Road,Palm Springs,-116.547913,33.897491,PSN
724,Station Building (with waiting room),TRAIN,23803,VA,Petersburg,3516 South Street,"Petersburg, VA",-77.428794,37.241627,PTB
727,Station Building (with waiting room),TRAIN,48060,MI,Port Huron,2223 16th Street,Port Huron,-82.443805,42.960419,PTH
734,Station Building (with waiting room),TRAIN,73080,OK,Purcell,East Main Street and North Santa Fe Avenue,"Purcell, OK",-97.357416,35.012033,PUR
735,Station Building (with waiting room),TRAIN,2903,RI,Providence,100 Gaspee Street,Amtrak/MBTA Station,-71.413478,41.82949,PVD
737,Station Building (with waiting room),TRAIN,73075,OK,Pauls Valley,South Santa Fe Street and East Paul Avenue,"Perris, CA",-97.21846,34.741735,PVL
741,Platform with Shelter,TRAIN,22134,VA,Quantico,550 Railroad Avenue,"Quantico, VA",-77.293027,38.521882,QAN
742,Station Building (with waiting room),TRAIN,62301,IL,Quincy,North 30th Street and Wisman Lane,Quincy,-91.368525,39.957063,QCY
744,Station Building (with waiting room),TRAIN,87740,NM,Raton,201 South First Street,"Raton, NM",-104.437886,36.901072,RAT
748,Platform with Shelter,TRAIN,96001,CA,Redding,1620 Yuba Street,Redding,-122.39337,40.583595,RDD
753,Station Building (with waiting room),TRAIN,55066,MN,Red Wing,420 Levee Street,Red Wing,-92.537066,44.566214,RDW
755,Platform with Shelter,TRAIN,47978,IN,Rensselaer,776 North Cullen Street,Rensselaer,-87.155121,40.943281,REN
756,Station Building (with waiting room),TRAIN,27603,NC,Raleigh,510 West Martin Street,Union Station,-78.647784,35.777209,RGH
757,Station Building (with waiting room),TRAIN,12574,NY,Rhinecliff,455 Rhinecliff Road ,"Rhinelander, WI",-73.951278,41.921346,RHI
758,Platform with Shelter,TRAIN,94801,CA,Richmond,1700 Nevin Avenue,"Richmond, VA",-122.35413,37.936752,RIC
760,Platform with Shelter,TRAIN,92507,CA,Riverside,4066 Vine Street,Riverside,-117.369988,33.97567,RIV
763,Platform with Shelter,TRAIN,20850,MD,Rockville,307 South Stonestreet Avenue,Rockville,-77.145995,39.084547,RKV
764,Station Building (with waiting room),TRAIN,95677,CA,Rocklin,Rocklin Rd. and Railroad Ave.,"Rollinsford, NH",-121.237299,38.791006,RLN
766,Station Building (with waiting room),TRAIN,27804,NC,Rocky Mount,101 Coastline Street,Rocky Mount,-77.797855,35.938001,RMT
